IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
81,"FC080-SD_.6K._",400,50,0,900,1400,2.7,12937.33,23095.09,12937.33,13959.11,14980.51,15961.99,17021.83,18041.75,19060.95,20040.88,21059.44,22077.68,23095.09,137.39,132.46,125.88,116.85,106.45,93.58,77.70999999999999,62.12,43.51,23.54,0.01,0,0
82,"FC080-SD_.6K._",400,50,1,690,940,1.7,10013.02,18845.92,10013.02,10877.24,11741.46,12644.7,13548.06,14411.77,15275.14,16177.87,17080.52,17943.58,18845.92,83.01000000000001,77.26000000000001,71.51000000000001,64.39,57.81,49.87,40.57,31.26,21.68,11.01,0.06,0,0
83,"FC080-VD_.7Q._",400,50,0,1270,5100,8.800000000000001,18010.47,37277.49,18010.47,19965.1,21780.1,23804.54,25759.16,27574.17,29528.8,31483.42,33438.05,35322.86,37277.49,311.59,296.38,278.26,254.35,225.36,196.38,160.14,123.91,84.78,44.2,1.45,0,0
84,"FC080-VD_.7Q._",400,50,1,910,2700,5,13263.53,28272.25,13263.53,14729.49,16265.27,17731.24,19267.02,20802.79,22198.95,23804.54,25270.51,26736.47,28272.25,169.57,161.59,151.45,140.58,125.36,107.25,89.13,68.12,47.83,23.19,1.45,0,0
85,"FC091-AD_.7M._",400,50,0,680,1750,3.4,18743.8,28859.5,18743.8,19735.54,20776.86,21768.59,22809.92,23752.07,24793.39,25834.71,26776.86,27818.18,28859.5,121.21,114.67,107.04,98.87,88.25,77.34999999999999,63.74,49.57,35.14,17.98,0.27,0,0
86,"FC091-AD_.7M._",400,50,1,520,1200,2.3,14280.99,24545.45,14280.99,15322.31,16314.05,17355.37,18396.69,19388.43,20429.75,21421.49,22512.4,23504.13,24545.45,80.89,75.72,70,63.74,56.93,49.84,41.95,32.68,23.15,11.98,0.54,0,0
87,"FC091-SD_.7Q._",400,50,0,850,3300,6.3,19519.5,35066.57,19519.5,20984.94,22582.61,24112.82,25708.26,27302.7,28830.03,30356.8,31949.02,33407.91,35066.57,187.21,182.86,174.58,163.54,147.38,127.68,106.41,83.17,55.59,28.02,-0.35,0,0
88,"FC091-SD_.7Q._",400,50,1,610,1900,3.5,15425.62,27066.7,15425.62,16557.73,17756.17,18887.73,20018.83,21216.27,22346.83,23543.82,24673.71,25803.37,27066.7,90.79000000000001,86.45,80.93000000000001,74.62,66.73,57.67,47.81,37.17,24.95,11.95,0.13,0,0
89,"FC100-6D_.8P._",400,50,0,935,5500,10.5,35081.97,50000,35081.97,36557.38,38032.79,39590.16,40983.61,42459.02,44098.36,45491.8,47049.18,48524.59,50000,244.15,228.56,211.99,194.93,178.36,156.92,131.58,105.75,76.51000000000001,39.96,0.49,0,0
90,"FC100-6D_.8P._",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
