IdFanModel,Model,Voltage,Frequency,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
98,"FC035-4D_.2C._",230,50,1220,130,0.34,2104.24,3250.86,0,0,0,0,0,0,0
99,"FC035-4D_.2C._",180,50,1070,110,0.35,1856.05,2913.33,0,0,0,0,0,0,0
100,"FC035-4D_.2C._",140,50,890,83,0.35,1488.74,2431.84,0,0,0,0,0,0,0
101,"FC035-4E_.2C._",230,50,1330,185,0.84,2252.73,3450.68,0,0,0,0,0,0,0
102,"FC035-4E_.2C._",160,50,1050,130,0.8100000000000001,1747.34,2965.69,0,0,0,0,0,0,0
103,"FC035-4E_.2C._",130,50,780,89,0.71,1202.62,2081.17,0,0,0,0,0,0,0
104,"FC035-4E_.2C._",105,50,560,57,0.59,861.4299999999999,1402.3,0,0,0,0,0,0,0
105,"FC040-2D_.6K._",400,50,2850,1400,2.7,4596.81,7127.48,0,0,0,0,0,0,0
106,"FC040-2D_.6K._",230,50,2550,1050,2.9,4174.96,6458.49,0,0,0,0,0,0,0
107,"FC040-2D_.6K._",180,50,2270,860,3.2,3775.36,5800.66,0,0,0,0,0,0,0
108,"FC040-2D_.6K._",140,50,1930,650,3.2,3153.14,4886.37,0,0,0,0,0,0,0
109,"FC040-4D_.2F._",400,50,1380,280,0.6,3415.65,5283.98,0,0,0,0,0,0,0
110,"FC040-4D_.2F._",230,50,1200,210,0.55,3018.14,4624.1,0,0,0,0,0,0,0
111,"FC040-4D_.2F._",180,50,1050,170,0.5600000000000001,2716.02,4139.13,0,0,0,0,0,0,0
112,"FC040-4D_.2F._",140,50,870,130,0.54,2207.2,3391.8,0,0,0,0,0,0,0
113,"FC040-4E_.2F._",230,50,1350,290,1.45,3610.36,5162.3,0,0,0,0,0,0,0
114,"FC040-4E_.2F._",160,50,1160,270,1.65,3072.47,4756.68,0,0,0,0,0,0,0
115,"FC040-4E_.2F._",130,50,770,230,1.7,2208.32,3292.92,0,0,0,0,0,0,0
116,"FC040-4E_.2F._",105,50,530,145,1.35,1458.8,2076.05,0,0,0,0,0,0,0
