IdFanModel,Model,AreaBocca,CodVentRif,DG,ICur,Ibin,Density,MinRound,MaxRound,PressMin,PressMax,XCapMin,YCapMin,CapMin,XPressMin,YPressMin,XCapMax,YCapMax,CapMax,XPressMax,YPressMax
87,"ADH 225",0.083,119,225,2,1,1.2,800,3800,100,3500,2790,3180,700,2790,3180,8415,3180,16000,2790,12855
88,"ADH 280",0.13,121,280,2,1,1.2,600,3000,90,4000,2445,2220,800,2445,2220,7980,2220,20000,2445,12120
89,"ADH 355",0.205,128,355,2,1,1.2,500,2200,100,3500,3045,2220,2000,3045,2220,8235,2220,40000,3045,12120
90,"ADH 450",0.324,138,450,2,1,1.2,350,1600,70,2600,2775,3660,2000,2775,3660,8460,3660,50000,2775,13575
91,"ADH 500",0.407,139,500,2,1,1.2,350,1500,90,2600,2265,3675,3000,2265,3675,7740,3675,70000,2265,13590
92,"ADH 560",0.511,140,560,2,1,1.2,300,1400,80,3000,2430,3675,4000,2430,3675,7950,3675,100000,2430,13590
93,"ADH 630",0.642,141,630,2,1,1.2,250,1200,80,3200,1860,3690,4000,1860,3690,7395,3690,100000,1860,13575
94,"ADH 315",0.163,127,315,2,1,1.2,500,2600,80,3600,2955,2235,1500,2955,2235,8070,2235,30000,2325,12120
95,"ADH 900",1.277,233,900,2,1,1.2,170,750,80,2400,2010,3675,8000,2010,3675,7950,3675,200000,2010,13560
96,"ADH 800",1.014,232,800,2,1,1.2,200,850,80,2500,1860,3675,6000,1860,3675,7590,3675,160000,1860,13575
97,"ADH 710",0.806,231,710,2,1,1.2,250,950,100,2400,2190,3675,6000,2190,3675,7515,3675,100000,2190,13560
98,"ADH 1000",1.605,234,1000,2,1,1.2,160,700,80,2500,1800,3675,10000,1800,3675,7140,3675,200000,1800,13575
99,"RDH 400",0.205,242,400,2,1,1.2,1200,3800,70,4500,2340,2295,2000,2340,2295,7965,2295,35000,2340,12510
100,"RDH 355",0.163,241,355,2,1,1.2,1200,4200,60,4500,1410,2250,1200,1410,2250,7350,2250,25000,1410,12315
101,"RDH 315",0.13,240,315,2,1,1.2,1400,4500,60,4500,2115,2265,1200,2115,2265,7935,2265,20000,2115,12330
102,"RDH 280",0.104,239,280,2,1,1.2,1600,5100,60,4500,2055,180,600,2055,180,8055,180,10000,2055,10215
103,"RDH 500",0.324,244,500,2,1,1.2,900,3000,60,4500,2070,2280,3000,2070,2280,7575,2280,50000,2070,12480
104,"RDH 560",0.407,245,560,2,1,1.2,800,2800,60,4800,1770,2250,3000,1770,2250,7665,2250,70000,1770,12285
105,"RDH 630",0.511,246,630,2,1,1.2,700,2500,60,4500,2025,3915,4000,2025,3915,7890,3915,70000,2025,14160
106,"RDH 710",0.642,247,710,2,1,1.2,700,2200,80,4500,2310,2265,6000,2310,2265,7890,2265,100000,2310,12315
107,"RDH 180",0.052,235,180,2,1,1.2,2500,7500,50,3500,2325,2220,400,2325,2220,8040,2220,5000,2325,12150
108,"RDH 900",1.014,249,900,2,1,1.2,500,1750,70,4500,2145,2265,7000,2145,2265,7980,2265,150000,2145,12285
109,"RDH 450",0.257,243,450,2,1,1.2,1000,3400,60,4500,1800,2265,2000,1800,2265,7350,2265,40000,1800,12285
110,"RDH 250",0.083,238,250,2,1,1.2,1800,6000,60,4500,2670,2265,600,2670,2265,8520,2265,12000,2670,12270
111,"RDH 225",0.066,237,225,2,1,1.2,2000,6500,60,4000,2490,1650,500,2490,1650,8190,1650,10000,2490,11580
112,"RDH 200",0.065,236,200,2,1,1.2,2500,7600,60,4000,2715,2220,500,2715,2220,8475,2220,7000,2715,12135
113,"RDH 800",0.806,248,800,2,1,1.2,600,1800,70,4500,2070,2295,6000,2070,2295,7980,2295,130000,2070,12540
114,"RDH 1000",1.277,250,1000,2,1,1.2,450,1400,60,4500,945,225,8000,945,225,6495,225,150000,945,10245
118,"PFN 250",0,275,250,2,1,1.2,1800,5600,30,3000,0,0,288,0,0,0,0,18000,0,0
