IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
32,"FB050-4E_.4F._L",105,50,2071.23,3872.73,610,190,0.19,2071.23,2235.85,2429.51,2623.14,2787.76,2962.1,3136.44,3320.46,3504.5,3688.63,3872.73,21.7,20.32,18.71,17.57,16.19,14.12,12.06,9.99,7.46,3.78,0.5600000000000001,0,0
33,"FB050-4E_.4I._P",230,50,4734.78,7098.43,1240,540,0.24,4734.78,4957.37,5201.15,5434.34,5678.12,5911.31,6144.49,6388.28,6632.06,6854.65,7098.43,89.45,85.47,80.61,73.98,66.25,58.3,48.8,38.19,26.26,14.55,0.03,0,0
34,"FB050-4E_.4I._P",160,50,3674.85,5879.51,960,380,0.25,3674.85,3886.84,4109.42,4342.61,4544,4777.18,4999.77,5211.75,5455.54,5667.52,5879.51,51.89,48.58,45.26,41.07,37.09,32.23,27.37,21.85,15.44,8.369999999999999,0.19,0,0
35,"FB050-4E_.4I._P",130,50,2879.9,4755.98,750,280,0.23,2879.9,3049.49,3250.88,3431.07,3621.85,3812.64,4014.03,4194.22,4385.01,4565.19,4755.98,31.12,28.91,26.04,23.39,20.52,17.43,14.33,11.02,7.26,3.95,0.19,0,0
36,"FB050-4E_.4I._P",105,50,2148.55,3653.65,580,200,0.2,2148.55,2273.7,2444.92,2599.02,2735.99,2907.21,3044.19,3181.17,3335.26,3497.92,3653.65,18.31,17.35,16.1,14.32,12.89,11.28,9.68,7.71,5.22,2.54,0.03,0,0
37,"FB050-6E_.4C._L",230,50,2995.78,4435.4,880,175,0.83,2995.78,3141.21,3281.3,3421.4,3566.94,3712.51,3852.73,3998.32,4144,4278.92,4435.4,45.78,42.93,39.66,36.19,32.01,27.52,22.72,17.93,12.21,6.49,0.16,0,0
38,"FB050-6E_.4C._L",160,50,2078.31,3903.07,630,125,0.85,2078.31,2255.85,2444.19,2621.77,2815.5,2987.76,3181.55,3364.58,3542.27,3709.2,3903.07,22.67,21.55,19.92,18.29,16.46,14.22,11.77,9.32,6.47,3.61,0.25,0,0
39,"FB050-6E_.4C._L",130,50,1493.2,2854.55,420,85,0.76,1493.2,1627.68,1767.57,1902.07,2031.18,2176.48,2316.38,2445.52,2580.07,2720,2854.55,11.31,10.7,9.68,8.869999999999999,8.06,6.73,5.61,4.49,3.07,1.64,0.22,0,0
40,"FB050-6E_.4C._L",105,50,1058.12,1935.08,320,56,0.62,1058.12,1138.82,1235.66,1327.12,1402.43,1488.51,1579.98,1666.06,1752.15,1843.62,1935.08,5.98,5.47,4.86,4.25,3.95,3.34,2.73,2.12,1.51,0.8,0.14,0,0
41,"FB050-6E_.4F._P",230,50,3558.92,5130.73,910,230,0.105,3558.92,3713.53,3874.57,4016.29,4190.22,4344.83,4505.87,4654.04,4808.64,4982.57,5130.73,49.82,46.96,43.6,40.23,35.85,31.16,25.55,20.25,14.13,6.89,0.06,0,0
42,"FB050-6E_.4F._P",160,50,2818.11,4602.5,740,170,0.115,2818.11,2998.48,3178.86,3352.79,3533.16,3713.53,3887.46,4067.83,4248.2,4422.13,4602.5,31.36,29.43,27.18,24.63,21.98,18.92,15.86,12.3,8.32,4.34,0.06,0,0
43,"FB050-6E_.4F._P",130,50,1993.56,3455.85,490,125,0.11,1993.56,2135.28,2283.44,2431.6,2579.77,2721.49,2869.65,3011.37,3165.97,3307.69,3455.85,15.15,14.03,12.91,11.48,9.949999999999999,8.619999999999999,6.99,5.57,3.73,1.79,0.16,0,0
44,"FB050-6E_.4F._P",105,50,1491.1,2367.18,370,83,0.9,1491.1,1574.84,1671.47,1748.77,1832.51,1929.14,2012.88,2096.63,2180.37,2283.44,2367.18,7.5,7.1,6.48,5.77,4.85,4.24,3.42,2.71,1.69,0.88,0.16,0,0
45,"FB050-6E_.4F._S",230,50,3846.08,5373.91,880,270,0.12,3846.08,3997.27,4148.4,4290.62,4459.41,4592.7,4761.5,4912.4,5063.27,5223.02,5373.91,44.13,41.05,37.65,34.26,29.48,25.98,21.31,16.22,10.91,5.29,0.09,0,0
