IDCompressor,Description,CMax,CStart,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
2199,"ZR760KCE-FWM",0,0,19.955,0.21767,0.38992,0.0032343,-0.00257,-0.0028841,4.1942e-05,-0.00010375,1.2138e-05,0.00012467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2200,"ZBH30KJE-TFD",0,0,1.0084,0.020442,0.068355,0.00056133,0.0006791600000000001,-0.0010048,6.4363e-06,-5.4339e-06,-6.831e-06,1.0949e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2201,"ZRH49KJE-TFD",0,0,1.0084,0.020442,0.068355,0.00056133,0.0006791600000000001,-0.0010048,6.4363e-06,-5.4339e-06,-6.831e-06,1.0949e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2202,"ZBH38KJE-TFD",0,0,1.2449,0.025237,0.084385,0.00069297,0.00083844,-0.0012405,7.945699999999999e-06,-6.7082e-06,-8.433e-06,1.3517e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2203,"ZRH61KJE-TFD",0,0,1.2449,0.025237,0.084385,0.00069297,0.00083844,-0.0012405,7.945699999999999e-06,-6.7082e-06,-8.433e-06,1.3517e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2204,"ZBH45KJE-TFD",0,0,1.8395,0.028855,0.094079,0.00080602,0.00098036,-0.0013561,8.178e-06,-8.394e-06,-1.0084e-05,1.4933e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2205,"ZBHV45KJE-TFD",0,0,1.8395,0.028855,0.094079,0.00080602,0.00098036,-0.0013561,8.178e-06,-8.394e-06,-1.0084e-05,1.4933e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2206,"ZRH72KJE-TFD",0,0,1.8395,0.028855,0.094079,0.00080602,0.00098036,-0.0013561,8.178e-06,-8.394e-06,-1.0084e-05,1.4933e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2207,"ZRHV72KJE-TFD",0,0,1.8395,0.028855,0.094079,0.00080602,0.00098036,-0.0013561,8.178e-06,-8.394e-06,-1.0084e-05,1.4933e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2208,"ZR61KSE-TFM",0,0,1.386,-0.068841,0.034545,-0.0026556,0.0033395,-0.00021591,-3.5586e-05,4.9364e-05,-3.6234e-05,1.1536e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2209,"ZR94KCE-TFD",0,0,1.5936,-0.0030336,0.089825,6.0079e-05,0.0003821,-0.00099496,3.5861e-06,-7.1589e-06,-8.644000000000001e-06,2.159e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2210,"ZR94KCE-TF5",0,0,2.1382,0.0032438,0.096498,6.5159e-05,0.0002396,-0.00079882,3.1575e-06,-6.5158e-06,-4.467e-06,2.0337e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
