IdCompressor,Description,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
1094,"SM250-3",40.87412181,0.160214858,0.084901424,0.002967858,-0.001161434,0.002350717,4.15201e-06,-4.87168e-05,-3.19311e-05,9.996650000000001e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1095,"SM268-3",41.17646826,0.159699598,0.041766141,0.004003911,-0.004502841,0.006518351,4.84149e-05,-9.275099999999999e-05,4.81613e-05,4.73279e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1096,"SM271-3",41.47044016,0.169539659,0.029308538,0.003942738,-0.004948439,0.006399225,4.79509e-05,-9.40288e-05,5.31849e-05,4.89629e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1097,"SM281-3",42.47187076,0.172450005,0.077857092,0.004202814,-0.004920672,0.005976174,5.0474e-05,-9.45125e-05,5.26023e-05,5.57779e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1098,"SM285-3",43.07490434,0.132367802,0.15440255,0.000185159,-0.000435721,0.002466425,-1.41432e-05,-1.55022e-05,-9.25948e-06,9.81726e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1099,"SM290-3",44.94629616,0.110694963,0.251381143,-0.000204451,-0.000161247,0.001200377,-1.37883e-05,-6.52773e-06,-4.34326e-06,0.000105141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1100,"SM296-3",45.68552651,0.230500538,-0.13647075,0.00733821,-0.008460837000000001,0.011391123,0.000103278,-0.000163883,0.000110708,1.7186e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1101,"SM310-3",47.85825869,0.114400413,0.193461137,-0.000201231,-0.000125655,0.002653752,-1.44503e-05,-6.93865e-06,-5.13119e-06,0.000100231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1102,"SM320-3",45.22399699,0.104361903,0.223718392,-0.002597762,0.000290516,0.002579172,-3.24215e-05,1.7731e-05,1.34233e-05,9.62609e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1103,"SM322-3",48.27477703,0.255986051,-0.064332157,0.007735776,-0.009295998,0.010307419,0.000107393,-0.000167404,0.000119585,3.4076e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1104,"SM350-3",52.42727091,0.069990026,0.321740515,-0.003223655,0.000722586,0.002214486,-3.14672e-05,3.30561e-05,2.23995e-05,0.000101232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1105,"SM370-3",54.78496567,0.06844868699999999,0.301788697,-0.00337008,0.000910274,0.002953602,-3.30352e-05,3.48478e-05,2.16749e-05,0.000100376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1106,"SM480-3",67.87672152,0.156636837,0.335779056,-0.003898983,0.000436035,0.003871081,-4.86614e-05,2.66125e-05,2.0147e-05,0.000144478,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1107,"SM550-3",82.22678457000001,0.102734672,0.452954818,-0.005058154,0.001366231,0.004433062,-4.95826e-05,5.23031e-05,3.25319e-05,0.000150655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1108,"SM640-3",90.50229536000001,0.208849116,0.447705408,-0.005198644,0.00058138,0.005161442,-6.48819e-05,3.54833e-05,2.68627e-05,0.000192637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1109,"SM740-3",109.6357128,0.136979563,0.603939757,-0.006744206,0.001821642,0.00591075,-6.61101e-05,6.97374e-05,4.33759e-05,0.000200873,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1110,"SM084-9",7.683043956,0.016566942,0.032134097,0.000175943,-0.000168032,0.000590399,-1.37256e-06,-6.41341e-06,-4.29409e-06,1.47723e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1111,"SM090-9",8.909457615999999,0.01484438,0.038747101,-0.000405653,-7.138439999999999e-05,0.000113392,-6.8192e-06,-3.43066e-06,-2.52258e-06,1.90022e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1112,"SM100-9",8.89439658,0.021174662,0.038355519,-5.93607e-05,-0.000152006,0.000365769,-4.03616e-06,-5.6804e-06,-3.70215e-06,1.8356e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1113,"SM110-9",10.27540369,0.02460475,0.036485419,4.30323e-05,-0.0001766,0.00073715,-3.42817e-06,-6.09716e-06,-3.94164e-06,1.89355e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1114,"SM115-9",10.81849868,0.043742901,0.052260034,0.000814032,-0.000302157,5.3448e-05,1.12987e-06,-1.33321e-05,-8.987850000000001e-06,3.14982e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1115,"SM120-9",10.98659585,0.026615004,0.06599306000000001,0.000199464,-0.00016185,0.000491381,-1.95195e-06,-6.45286e-06,-4.33348e-06,2.32264e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1116,"SM125-9",12.03963836,0.047191936,0.025008059,0.000874195,-0.000342105,0.000692413,1.22299e-06,-1.43497e-05,-9.40545e-06,2.94455e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1117,"SM148-9",15.07948846,0.076081649,-0.0450451,0.002422134,-0.002792681,0.003759885,3.4089e-05,-5.40933e-05,3.65416e-05,5.67262e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1118,"SM160-9",14.60907964,0.033712884,0.07226959199999999,-0.000839177,9.384770000000001e-05,0.000833171,-1.04734e-05,5.72779e-06,4.33624e-06,3.1096e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1119,"SM161-9",15.93412617,0.08449369,-0.021234209,0.002553359,-0.003068344,0.003402185,3.54475e-05,-5.52554e-05,3.94715e-05,1.12475e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1120,"SM175-9",16.18912328,0.021612362,0.099350906,-0.0009954390000000001,0.000223129,0.0006838150000000001,-9.71683e-06,1.02074e-05,6.91679e-06,3.12596e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1121,"SM185-9",16.94515892,0.02117139,0.093344175,-0.001042376,0.000281551,0.000913558,-1.02179e-05,1.07785e-05,6.70412e-06,3.10466e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1122,"SM170-9",15.35686826,0.033114003,0.06422963299999999,0.000351676,-0.000335863,0.00118009,-2.74347e-06,-1.28191e-05,-8.58302e-06,2.95268e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1123,"SM180-9",17.80822388,0.029670946,0.07744770600000001,-0.0008108189999999999,-0.000142683,0.000226648,-1.36302e-05,-6.8572e-06,-5.04214e-06,3.79817e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1124,"SM200-9",17.77811988,0.042323914,0.07666501100000001,-0.00011865,-0.000303829,0.000731098,-8.06747e-06,-1.1354e-05,-7.39985e-06,3.66899e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1125,"SM220-9",20.53847689,0.049179974,0.072927055,8.6013e-05,-0.000352989,0.001473416,-6.85223e-06,-1.2187e-05,-7.87856e-06,3.78483e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1126,"SM230-9",21.62401515,0.087433311,0.104457357,0.001627086,-0.000603951,0.000106832,2.25838e-06,-2.66482e-05,-1.79649e-05,6.29586e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1127,"SM242-9",21.96000779,0.05319807,0.131906928,0.000398689,-0.000323505,0.0009821719999999999,-3.90155e-06,-1.2898e-05,-8.661750000000001e-06,4.64249e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1128,"SM250-9",24.06482915,0.09432724200000001,0.049986108,0.00174734,-0.0006838,0.001383996,2.44451e-06,-2.86822e-05,-1.87996e-05,5.88557e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1129,"SM268-9",26.06608431,0.102696653,0.02094796,0.002621598,-0.002954531,0.004251265,3.2137e-05,-6.05461e-05,3.22081e-05,2.8899e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1130,"SM271-9",26.20952985,0.10909844,0.01525121,0.002596391,-0.003244944,0.004139335,3.20193e-05,-6.135260000000001e-05,3.55299e-05,3.0183e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1131,"SM281-9",26.92072202,0.111108694,0.044758851,0.002752823,-0.003230193,0.003893566,3.34955e-05,-6.170829999999999e-05,3.5138e-05,3.44739e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1132,"SM285-9",26.648718,0.08090482,0.09727765100000001,3.50181e-05,-0.000248258,0.001525585,-9.25039e-06,-8.621940000000001e-06,-5.06921e-06,6.05415e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1133,"SM290-9",27.00762196,0.065355263,0.15161094,-0.000181408,-7.90282e-05,0.000737263,-8.58696e-06,-3.12466e-06,-2.07106e-06,6.27578e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1134,"SM296-9",30.14088154,0.152072001,-0.090036145,0.004841361,-0.005582011,0.007515258,6.8137e-05,-0.000108122,7.30393e-05,1.13384e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1135,"SM310-9",28.98479728,0.068363327,0.118352234,-0.000168181,-6.05546e-05,0.001605971,-8.994899999999999e-06,-3.57119e-06,-2.70133e-06,6.04922e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1136,"SM320-9",29.20062838,0.067385312,0.14445246,-0.001677346,0.000187583,0.001665343,-2.09342e-05,1.14487e-05,8.66727e-06,6.21546e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1137,"SM322-9",31.84913138,0.168885987,-0.042442937,0.005103654,-0.006133005,0.006800287,7.085240000000001e-05,-0.000110445,7.88957e-05,2.24815e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1138,"SM350-9",32.35881961,0.043198789,0.198582591,-0.001989684,0.00044599,0.00136681,-1.9422e-05,2.04026e-05,1.38253e-05,6.24817e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1139,"SM370-9",33.86998365,0.042317375,0.186576337,-0.002083501,0.000562763,0.00182602,-2.04235e-05,2.15441e-05,1.34002e-05,6.2056e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1140,"SM480-9",43.82723892,0.101138652,0.216808776,-0.00251753,0.000281543,0.002499514,-3.14202e-05,1.71834e-05,1.30087e-05,9.32879e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1141,"SM550-9",50.83547676,0.06351417099999999,0.280032525,-0.003127128,0.000844652,0.002740674,-3.06537e-05,3.23356e-05,2.01124e-05,9.31399e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1142,"SM640-9",58.43631856,0.134851535,0.289078368,-0.003356706,0.000375391,0.003332685,-4.18935e-05,2.29112e-05,1.73449e-05,0.000124384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1143,"SM740-9",67.78063568,0.08468556100000001,0.3733767,-0.004169504,0.001126203,0.003654232,-4.08716e-05,4.31141e-05,2.68165e-05,0.000124187,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
