IDCompressor,Description,Tcmax,Tcmin,Temax,Temin,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,RPSmin,RPSmax,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
9802,"4DES-5Y",60,10,0,-40,34613.0921585502,1280.55162738934,-281.977680149626,16.9855833973383,-8.527834955489579,-1.13518973043279,0.0872035565110468,-0.0685069936826378,-0.00788662850741002,0.008576966350995811,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9803,"4DES-7Y",60,10,12.5,-40,34688.8376930039,1301.02787157404,-283.325152468929,18.0307485842003,-8.586600762168031,-1.03529422435432,0.0992645239661689,-0.07791129718746161,-0.01355651831266,0.00614577478049517,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9804,"4EES-4Y",60,10,0,-40,29321.9677432585,1083.65836900045,-237.833065249944,14.3626467940542,-7.21904681587472,-0.955409532596013,0.0736466148385428,-0.058218574061197,-0.00660697825728129,0.00712447049196198,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9805,"4EES-6Y",60,10,12.5,-40,29386.7865232144,1101.10822591152,-238.936956312977,15.2469953384577,-7.27409995639469,-0.873433462666817,0.0837844609017102,-0.0662948428492478,-0.0114042603232664,0.00509190630692986,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9806,"4FE-28Y",60,10,0,-40,129173.827899891,4782.56314528945,-1000.85496478388,63.9618208674396,-34.8691534076787,-3.24354434785199,0.306739615981856,-0.369676539714387,-0.0309776695532332,0.00894092303096072,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9807,"4FE-35Y",60,10,12.5,-40,130318.394969,4942.03691993334,-1067.7991269309,69.10185697762751,-38.5050933103069,-2.15572880867832,0.346999255698434,-0.450406160614743,-0.0313737302869917,-0.00278531008022587,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9808,"4FES-3Y",60,10,0,-40,23311.9409094601,860.721859192025,-188.393191909797,11.400210315856,-5.73566247932976,-0.752750414511423,0.0583998180419489,-0.0464002511397171,-0.00518859432421288,0.00554736152234078,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9809,"4FES-5Y",60,10,12.5,-40,23364.0155989986,874.6731994658541,-189.252121487563,12.1027925977291,-5.78318791296922,-0.689165956306842,0.0664062350266111,-0.0529013871326641,-0.009000098830712511,0.0039471045271374,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9810,"4GE-23Y",60,10,0,-40,107802.232117858,3964.4780731277,-736.6467401075751,52.6970259502576,-24.697159753668,-5.02489879106369,0.263227373705153,-0.246392593203124,-0.0642903624679871,0.0226349862699389,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9811,"4GE-30Y",60,10,12.5,-40,108246.932826462,4084.79692782454,-795.532458648802,57.0023992781051,-27.1694951860485,-4.28310999803395,0.301555859342936,-0.304803665635413,-0.0695734148701825,0.0141592705663054,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9812,"4HE-18Y",60,10,0,-40,94427.3583303495,3457.15305288424,-689.2202276399011,45.7619228317417,-21.7739648552497,-3.61088601115198,0.229617337176298,-0.206750597871257,-0.0445345664816375,0.016914150919764,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9813,"4HE-25Y",60,10,12.5,-40,94865.373155498,3552.79718049908,-731.371865988164,49.2972281849113,-23.6170632718721,-2.99243522732945,0.262752253479891,-0.251895057900012,-0.0491308480268586,0.00957452305717882,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
