IdCompModel,Model,IdCostruttore,IdTipoCompr,IdUtilizzo,IdModalita,IdsFreon,Point,IDAl,FattoreCorrettivo,SHRif,SCRif,TempCondRif,TempEvapRif,Eq10Coef,CompressorUID,CalibrationFactor,CalibrationMode,NominalPower,SH,SC,SHMode,SortPosition,UnilabStandard,OriginalGUID,LastModified,OriginalLastModified,Limiti,PartLoad
56,"ZRT320K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"19B07883-8EF7-4F11-AC38CAC781E63D75",1.056646108627319,2,72.2,5,2,0,49,1,,"20090226 104917",,"-26.5;16.9;2.5;17;12.7;27.2;13.5;66.4;1.8;66.7;-26;37.6",0
57,"ZR310KCE-TWD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"8BF606BC-5A5F-435B-B0DCAD5C78E6D4FE",0.9649842977523804,2,73.8,5,2,0,8,1,,"20090226 102457",,"-23.9;25;9.9;24.6;14.9;29.8;15;67.6;3.1;67.8;-23.8;39.7",0
58,"ZRU310K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"405432E1-A153-443F-950C8BFFF2BB4E37",1.054490923881531,2,72.40000000000001,5,2,0,48,1,,"20090226 104854",,"-23.5;27.2;12.5;27;12.5;65;0;64.9;-23.6;39.8",0
59,"ZRU350K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"B1AD858F-EE55-4133-87192981F9B8DA52",1.050388216972351,2,79.09999999999999,5,2,0,50,1,,"20090226 104940",,"-23.5;27.2;12.7;27.2;12.6;65;-0.1;65.4;-23.4;39.9",0
60,"ZRT380K3E-TWD",1,1,4,17,45,1,1,0,18.3333339691162,0,38,3.5,1,"F7A78E1E-E982-4EEE-B55C32B42E886DD3",1.052834391593933,2,88.40000000000001,5,2,0,51,1,,"20090226 104959",,"-26.7;17.4;2.4;17.1;12.5;27.6;13.4;66.7;1.7;66.7;-26.2;37.4",0
61,"ZR380KCE-TWD",1,1,4,17,45,1,1,0,11.1111106872558,8.333333015441889,38,3.5,1,"A8E15A7E-AE91-4C11-851ADC708898E90A",0.9713671207427979,2,91.3,5,2,0,9,1,,"20090226 102525",,"-23.9;25;9.9;24.6;14.9;29.8;15;67.6;3.1;67.8;-23.8;39.7",0
62,"ZR18K4E-PFJ",1,1,4,17,45,1,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"971106DF-0E0B-416D-944710C53C5B7795",1.053254246711731,2,4.1,5,2,0,1,1,,"20090226 105218",,"-20.9;29.9;15;30.1;15;67.1;1.9;66.9;-21;42.5",0
63,"ZR22K3E-PFJ",1,1,4,17,45,1,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"4D9A1D07-F9EA-40DD-8D8C33F9351F5B5D",1.025022745132446,2,5.1,5,2,0,4,1,,"20090226 105329",,"-20.9;29.9;15;30.1;15;67.1;1.9;66.9;-21;42.5",0
64,"ZR28K3E-PFJ",1,1,4,17,45,1,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"66A7AF71-36C1-4585-84BBF68E5FB73FC6",0.9917110800743103,2,6.6,5,2,0,5,1,,"20090226 105349",,"-20.9;29.9;15;30.1;15;67.1;1.9;66.9;-21;42.5",0
65,"ZR34K3E-PFJ",1,1,4,17,45,1,7,0,11.1111106872558,8.333333015441889,38,3.5,1,"08A1D59A-B8DD-4322-80C720C131356387",0.9772468209266663,2,7.900000095367432,5,2,0,6,1,,"20090226 105411",,"-20.9;29.9;15;30.1;15;67.1;1.9;66.9;-21;42.5",0
