CodiceBatteria,ItipoB,AlCS,Psq,Descrizione,PassoRanghi,PassoTubi,DiamEster,Spessoretubo,SpessoreAletta,AltezzaAletta,FatCorAl,FatRidAumSup,FatCoeflattub,FatCorrFatAttr,RidAreaPassTubo,Sigla,FattoreAttrAria,SlopeFatCorAl,SlopeFatCoeflattub,SlopeFatCorrFatAttr,SlopeFattoreAttrAria,FattoreAttrAriaLatente,RappSuperficiInterne,FattoreSensible,Fast,SecurityFactor,MultiFattori,TuboLiscio,Certificata,Parziale,UsaSistemaLE,Fat_PDC_LA_1,Fat_PDC_LC_1,Fat_PDC_LA_2,Fat_PDC_LC_2,Fat_PDC_LA_3,Fat_PDC_LC_3,Fat_PDC_LA_4,Fat_PDC_LC_4,AlterPumpMethod,Factor_A0,Factor_A1,Factor_A2,Factor_FATC,Fatt_PdC_Concentrate,FormaTubo,AltezzaTubo,LarghezzaTubo,TipoAletta,TipoTubo,ParametriSpeciali,Fatt_Exp1,Fatt_Exp2,AHRI_CERT,EUROVENT_CERT,Fatt_Exp3,Fatt_Exp4,Fatt_Exp5,Fatt_Exp6
103,1,1,"S","165043_C_S",43.3,50,15.88,0.35,0.1,0,1.15,1,1,1,1,"165043_C_S",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
106,1,1,"S","165043_P_S",43.3,50,15.88,0.35,0.1,0,0.95,1,1,1,1,"165043_P_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
109,1,1,"S","165043_L_S",43.3,50,15.88,0.35,0.1,0,1.45,1,1,1,1,"165043_L_S",1.55,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
113,1,1,"S","133026_S_S",25.98,30,12.6,0.35,0.1,0,1,1,1,1,1,"133026_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
115,1,1,"S","133026_S_D",25.98,30,12.6,0.35,0.1,0,1,1,1.45,1.55,1,"133026_S_D",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
118,1,1,"S","133026_P_D",25.98,30,12.6,0.35,0.1,0,0.95,1,1.45,1.55,1,"133026_P_D",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
121,1,1,"S","133026_L_D",25.98,30,12.6,0.35,0.1,0,1.45,1,1.45,1.55,1,"133026_L_D",1.55,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
145,1,1,"S","176030_S_S",30,60,16.6,0.4,0.18,1.26,1,1,1,1,1,"176030_S_S",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
155,1,1,"S","133227_C_M",27.43,31.75,12.7,0.41,0.12,0,1.15,1,1.1,1.2,1,"133227_C_M",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,2,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
158,1,1,"Q","165050_x_S",50,50,15.88,0.35,0.1,0,1,1,1,1,1,"165050_x_S",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
161,1,2,"Q","256060_x_S",60,60,25.4,0.35,0.1,0,1,1,1,1,1,"256060_x_S",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
1,1,1,"S","082522_S_S",22,25,8.5,0.35,0.12,0,1,1,1,1,1,"082522_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
4,1,1,"Q","103232_S_S",32,32,10.3,0.35,0.12,0,1,1,1,1,1,"103232_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
6,1,1,"S","134035_S_S",34.64,40,13.3,0.35,0.12,0,1,1,1,1,1,"134035_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
8,1,1,"Q","173866_S_S",66,38.1,16.65,0.35,0.12,0,1,1,1,1,1,"173866_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
11,1,1,"S","123030_S_S",30,30,12.5,0.35,0.12,0,1,1,1,1,1,"123030_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
12,1,1,"S","166030_S_S",30,60,15.87,0.35,0.12,0,1,1,1,1,1,"166030_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
14,1,1,"S","276065_S_S",65,60,27,0.35,0.12,0,1,1,1,1,1,"276065_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
15,1,1,"S","276058_S_S",58,60,26.7,0.35,0.12,0,1,1,1,1,1,"276058_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
17,1,1,"S","081811_S_S",11,18,8,0.35,0.12,0,1,1,1,1,1,"081811_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
19,1,1,"S","102017_S_S",17,20,10,0.35,0.12,0,1,1,1,1,1,"102017_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
21,1,1,"S","072616_S_S",16,26,6.52,0.35,0.12,0,1,1,1,1,1,"072616_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
25,1,1,"S","134034_S_S",34,40,13.3,0.35,0.12,0,1,1,1,1,1,"134034_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
27,1,1,"S","173833_S_S",33,38,16.6,0.35,0.12,0,1,1,1,1,1,"173833_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
29,1,1,"S","206060_S_S",60,60,20,0.35,0.12,0,1,1,1,1,1,"206060_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
30,1,1,"S","155050_S_S",50,50,15,0.35,0.12,0,1,1,1,1,1,"155050_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
33,1,1,"S","165043_S_S",43.3,50,15.88,0.35,0.1,0,1,1,1,1,1,"165043_S_S",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
34,1,1,"S","166030_C_S",30,60,15.88,0.35,0.1,0,1.15,1,1,1,1,"166030_C_S",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
36,1,1,"S","072512_C_D",12.5,25,7.2,0.35,0.1,0,1.15,1,1.45,1.55,1,"072512_C_D",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
38,1,1,"S","072512_C_S",12.5,25,7.2,0.35,0.1,0,1.15,1,1,1,1,"072512_C_S",1.25,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
39,1,1,"S","072512_P_D",12.5,25,7.2,0.35,0.1,0,0.95,1,1.45,1.55,1,"072512_P_D",1,1,1,1,1,1,1,0.6,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
